DATE,DESCRIPTION,AMOUNT,Payee,ADDED OR MATCHED,Rule
"07/08/2025","THE HOME DEPOT 2615","-$19.95","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/08/2025 $19.95","Auto-add RULE APPLIED "
"07/07/2025","MICROSOFT*STORE","-$106.99","Microsoft","Added to:  Expense: General Business Expenses:Memberships & Subscriptions 07/07/2025 $106.99",""
"07/07/2025","SQ *PETER BOTTACHIARI","-$675.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 07/07/2025 $675.00","Auto-add RULE APPLIED "
"07/03/2025","THE HOME DEPOT 4280","-$187.15","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/03/2025 $187.15","Auto-add RULE APPLIED "
"07/03/2025","THE HOME DEPOT 4285","-$63.39","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/03/2025 $63.39","Auto-add RULE APPLIED "
"07/02/2025","THE HOME DEPOT 2615","-$39.08","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/02/2025 $39.08","Auto-add RULE APPLIED "
"07/02/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 07/02/2025 $170.78",""
"07/02/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 07/02/2025 $170.78",""
"07/01/2025","SQ *PETER BOTTACHIARI","-$510.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 07/01/2025 $510.00","Auto-add RULE APPLIED "
"07/01/2025","PRINTIT4LESS COM","-$13.60","Printful","Added to:  Expense: Office Expenses:Printing & photocopying 07/01/2025 $13.60",""
"07/01/2025","THE HOME DEPOT 2615","-$73.66","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 07/01/2025 $73.66","Auto-add RULE APPLIED "
"06/30/2025","THE HOME DEPOT 2615","-$238.95","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/30/2025 $238.95","Auto-add RULE APPLIED "
"06/27/2025","THE HOME DEPOT 4285","-$25.64","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/27/2025 $25.64","Auto-add RULE APPLIED "
"06/27/2025","THE HOME DEPOT 4285","-$431.22","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/27/2025 $431.22","Auto-add RULE APPLIED "
"06/26/2025","PRINTIT4LESS COM","-$95.11","","Added to:  Expense: Office Expenses:Printing & photocopying 06/26/2025 $95.11",""
"06/26/2025","SCITUATE PORTABLE RESTROO","-$170.78","","Added to:  Expense: Rent:Equipment Rental 06/26/2025 $170.78",""
"06/24/2025","THE HOME DEPOT 4280","-$49.90","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/24/2025 $49.90","Auto-add RULE APPLIED "
"06/24/2025","THE HOME DEPOT 2609","-$476.86","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/24/2025 $476.86","Auto-add RULE APPLIED "
"06/24/2025","THE HOME DEPOT #4285","-$30.97","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/24/2025 $30.97","Auto-add RULE APPLIED "
"06/23/2025","CITY OF PROVIDENCE, RI","-$474.72","City of Newport","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 06/23/2025 $474.72","Auto-add RULE APPLIED "
"06/23/2025","Amazon.com*NOX7542M0","-$18.46","Amazon","Added to:  Expense: Office Expenses:Office Supplies 06/23/2025 $18.46","Auto-add RULE APPLIED "
"06/20/2025","THE HOME DEPOT 4285","-$50.29","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/20/2025 $50.29","Auto-add RULE APPLIED "
"06/18/2025","CITY OF PROVIDENCE, RI","-$341.37","City of Providence","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 06/18/2025 $341.37","Auto-add RULE APPLIED "
"06/16/2025","THE HOME DEPOT 2659","-$76.71","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/16/2025 $76.71"," RULE APPLIED "
"06/13/2025","SQ *PETER BOTTACHIARI","-$435.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 06/13/2025 $435.00","Auto-add RULE APPLIED "
"06/13/2025","SHERWIN-WILLIAMSXX5429","-$79.98","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/13/2025 $79.98","Auto-add RULE APPLIED "
"06/13/2025","SCITUATE PORTABLE RESTROO","-$170.78","","Added to:  Expense: Rent:Equipment Rental 06/13/2025 $170.78",""
"06/13/2025","SHERWIN-WILLIAMSXX5429","-$59.06","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/13/2025 $59.06","Auto-add RULE APPLIED "
"06/13/2025","THE HOME DEPOT #4279","-$30.83","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/13/2025 $30.83","Auto-add RULE APPLIED "
"06/12/2025","LOWES #X2863*","-$25.32","Lowe's","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/12/2025 $25.32","Auto-add RULE APPLIED "
"06/11/2025","MT PLEASANT HARDWARE","-$58.85","Mt Pleasant Hardware","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/11/2025 $58.85",""
"06/10/2025","THE HOME DEPOT #4285","-$33.30","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/10/2025 $33.30","Auto-add RULE APPLIED "
"06/09/2025","SCITUATE PORTABLE RESTROO","-$170.78","","Added to:  Expense: Rent:Equipment Rental 06/09/2025 $170.78",""
"06/06/2025","SQ *PETER BOTTACHIARI","-$675.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 06/06/2025 $675.00"," RULE APPLIED "
"06/05/2025","SHERWIN-WILLIAMSXX5104","-$72.44","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/05/2025 $72.44"," RULE APPLIED "
"06/05/2025","THE HOME DEPOT 4280","-$320.74","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/05/2025 $320.74"," RULE APPLIED "
"06/04/2025","PLYMOUTH, MA","-$181.22","","Added to:  Expense: Utilities 06/04/2025 $181.22",""
"06/03/2025","PAYPAL *BULLFROGCON","-$530.40","","Added to:  Expense: Cost Of Goods Sold:Cost of Labor - COGS:Contract Labor 06/03/2025 $530.40",""
"06/03/2025","THE HOME DEPOT #2615","$51.95","Home Depot","Added to:  Credit Card Credit: Cost Of Goods Sold:Supplies & Materials - COGS 06/03/2025 $51.95","Auto-add RULE APPLIED "
"06/03/2025","GAF CONTRACTOR SVCS USD","-$80.00","GAF Contractors","Added to:  Expense: Cost Of Goods Sold:Roof Registration 06/03/2025 $80.00","Auto-add RULE APPLIED "
"06/03/2025","ABC SUPPLY 917","-$476.59","ABC Supply","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 06/03/2025 $476.59"," RULE APPLIED "
"06/02/2025","SQ *PETER BOTTACHIARI","-$650.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 06/02/2025 $650.00","Auto-add RULE APPLIED "
"05/30/2025","SQ *PETER BOTTACHIARI","-$675.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 05/30/2025 $675.00","Auto-add RULE APPLIED "
"05/28/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 05/28/2025 $170.78",""
"05/28/2025","THE HOME DEPOT #2673","-$164.91","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/28/2025 $164.91","Auto-add RULE APPLIED "
"05/28/2025","THE HOME DEPOT 2613","-$33.47","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/28/2025 $33.47","Auto-add RULE APPLIED "
"05/23/2025","PAYPAL *BULLFROGCON","-$530.40","","Added to:  Expense: Cost Of Goods Sold:Cost of Labor - COGS:Contract Labor 05/23/2025 $530.40",""
"05/23/2025","THE HOME DEPOT 2659","-$46.19","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/23/2025 $46.19","Auto-add RULE APPLIED "
"05/23/2025","PRIME DUMPSTER","-$299.68","PRIME CORPORATE SERVICES","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 05/23/2025 $299.68",""
"05/22/2025","CITY OF PROVIDENCE, RI","-$1,182.29","City of Newport","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 05/22/2025 $1,182.29","Auto-add RULE APPLIED "
"05/20/2025","THE HOME DEPOT 4280","-$94.32","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/20/2025 $94.32"," RULE APPLIED "
"05/20/2025","THE HOME DEPOT 2659","-$79.05","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/20/2025 $79.05"," RULE APPLIED "
"05/19/2025","THE HOME DEPOT 4280","-$100.75","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/19/2025 $100.75"," RULE APPLIED "
"05/19/2025","THE HOME DEPOT 4280","-$43.85","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/19/2025 $43.85"," RULE APPLIED "
"05/16/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 05/16/2025 $170.78",""
"05/16/2025","THE HOME DEPOT 4285","-$51.95","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/16/2025 $51.95","Auto-add RULE APPLIED "
"05/14/2025","RIVERHEAD BUILDING SUPPL","-$289.82","Riverhead Building Supply Corp.","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/14/2025 $289.82","Auto-add RULE APPLIED "
"05/14/2025","THE HOME DEPOT #2651","-$264.21","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/14/2025 $264.21","Auto-add RULE APPLIED "
"05/13/2025","STAPLES XXXX3416","-$9.42","Staples","Added to:  Expense: Office Expenses:Office Supplies 05/13/2025 $9.42","Auto-add RULE APPLIED "
"05/13/2025","THE HOME DEPOT 4280","-$47.48","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/13/2025 $47.48","Auto-add RULE APPLIED "
"05/09/2025","LANSING BP LINCOLN","-$116.07","Lansing Building Products","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/09/2025 $116.07","Auto-add RULE APPLIED "
"05/08/2025","SHERWIN-WILLIAMSXX5421","-$56.08","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/08/2025 $56.08","Auto-add RULE APPLIED "
"05/06/2025","RIVERHEAD BUILDING SUPPL","-$90.78","Riverhead Building Supply Corp.","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/06/2025 $90.78","Auto-add RULE APPLIED "
"05/06/2025","THE HOME DEPOT #4285","-$7.58","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/06/2025 $7.58","Auto-add RULE APPLIED "
"05/06/2025","THE HOME DEPOT 4285","-$15.93","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/06/2025 $15.93","Auto-add RULE APPLIED "
"05/02/2025","THE HOME DEPOT 4279","-$16.85","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/02/2025 $16.85","Auto-add RULE APPLIED "
"05/02/2025","THE HOME DEPOT 4279","-$130.05","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 05/02/2025 $130.05","Auto-add RULE APPLIED "
"05/01/2025","SCITUATE PORTABLE RESTROO","-$170.78","","Added to:  Expense: Rent:Equipment Rental 05/01/2025 $170.78",""
"04/28/2025","SQ *PETER BOTTACHIARI","-$675.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 04/28/2025 $675.00","Auto-add RULE APPLIED "
"04/27/2025","SHERWIN-WILLIAMSXX5682","-$59.06","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 04/27/2025 $59.06","Auto-add RULE APPLIED "
"04/23/2025","ABC SUPPLY 437","-$13.60","ABC Supply","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 04/23/2025 $13.60"," RULE APPLIED "
"04/23/2025","ABC SUPPLY 437","-$344.25","ABC Supply","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 04/23/2025 $344.25"," RULE APPLIED "
"04/23/2025","RIVERHEAD BUILDING SUPPL","-$547.67","Riverhead Building Supply Corp.","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 04/23/2025 $547.67","Auto-add RULE APPLIED "
"04/22/2025","NATIONAL BUILDING PROD","-$695.35","","Added to:  Expense: Repairs & Maintenance 04/22/2025 $695.35",""
"04/17/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 04/17/2025 $170.78",""
"04/17/2025","SQ *PETER BOTTACHIARI","-$430.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 04/17/2025 $430.00","Auto-add RULE APPLIED "
"04/14/2025","NATIONAL BUILDING PROD","-$428.00","","Added to:  Expense: Repairs & Maintenance 04/14/2025 $428.00",""
"04/14/2025","LANSING BP LINCOLN","-$29.94","Lansing Building Products","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 04/14/2025 $29.94","Auto-add RULE APPLIED "
"04/14/2025","SHERWIN-WILLIAMSXX2819","-$70.40","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 04/14/2025 $70.40","Auto-add RULE APPLIED "
"04/14/2025","THE HOME DEPOT 4285","-$39.16","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 04/14/2025 $39.16","Auto-add RULE APPLIED "
"04/10/2025","MONDAY.COM","-$684.00","Monday.com","Added to:  Expense: Office Expenses:Software & Apps 04/10/2025 $684.00","Auto-add RULE APPLIED "
"04/06/2025","SQ *PETER BOTTACHIARI","-$675.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 04/06/2025 $675.00","Auto-add RULE APPLIED "
"04/04/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 04/04/2025 $170.78",""
"04/03/2025","SQ *PETER BOTTACHIARI","-$430.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 04/03/2025 $430.00","Auto-add RULE APPLIED "
"04/02/2025","SHERWIN-WILLIAMSXX2819","-$72.70","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 04/02/2025 $72.70","Auto-add RULE APPLIED "
"03/31/2025","PLYMOUTH, MA","-$78.23","Plymouth","Added to:  Expense: Utilities 03/31/2025 $78.23",""
"03/28/2025","LOWES #X2863*","$27.02","","Added to:  Credit Card Credit: Cost Of Goods Sold:Supplies & Materials - COGS 03/28/2025 $27.02",""
"03/28/2025","THE HOME DEPOT 4282","-$64.84","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/28/2025 $64.84","Auto-add RULE APPLIED "
"03/28/2025","THE HOME DEPOT #4282","$147.69","Home Depot","Added to:  Credit Card Credit: Cost Of Goods Sold:Supplies & Materials - COGS 03/28/2025 $147.69","Auto-add RULE APPLIED "
"03/28/2025","THE HOME DEPOT 4282","-$237.39","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/28/2025 $237.39","Auto-add RULE APPLIED "
"03/28/2025","THE HOME DEPOT 4285","-$208.81","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/28/2025 $208.81","Auto-add RULE APPLIED "
"03/27/2025","THE HOME DEPOT 4282","-$233.87","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/27/2025 $233.87","Auto-add RULE APPLIED "
"03/27/2025","THE HOME DEPOT 4282","-$42.82","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/27/2025 $42.82","Auto-add RULE APPLIED "
"03/26/2025","PEL DISPOSAL IN","-$467.40","","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 03/26/2025 $467.40",""
"03/26/2025","NATIONAL LUMBER CORPO","-$204.00","National Lumber Family of Companies","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/26/2025 $204.00",""
"03/26/2025","THE HOME DEPOT 4280","-$40.64","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/26/2025 $40.64","Auto-add RULE APPLIED "
"03/25/2025","THE HOME DEPOT 4282","-$121.87","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/25/2025 $121.87","Auto-add RULE APPLIED "
"03/25/2025","THE HOME DEPOT 4280","-$40.64","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/25/2025 $40.64","Auto-add RULE APPLIED "
"03/24/2025","THE HOME DEPOT #4285","$678.29","Home Depot","Added to:  Credit Card Credit: Cost Of Goods Sold:Supplies & Materials - COGS 03/24/2025 $678.29","Auto-add RULE APPLIED "
"03/24/2025","THE HOME DEPOT 2615","-$110.67","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/24/2025 $110.67","Auto-add RULE APPLIED "
"03/24/2025","THE HOME DEPOT 4282","-$64.41","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/24/2025 $64.41","Auto-add RULE APPLIED "
"03/24/2025","THE HOME DEPOT #2659","-$68.01","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/24/2025 $68.01","Auto-add RULE APPLIED "
"03/24/2025","THE HOME DEPOT #2659","-$684.96","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/24/2025 $684.96","Auto-add RULE APPLIED "
"03/24/2025","THE HOME DEPOT 2659","-$109.12","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/24/2025 $109.12","Auto-add RULE APPLIED "
"03/23/2025","THE HOME DEPOT 4285","-$49.20","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/23/2025 $49.20","Auto-add RULE APPLIED "
"03/23/2025","PEL DISPOSAL IN","-$1,064.35","","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 03/23/2025 $1,064.35",""
"03/22/2025","STAPLES XXXX0032","-$40.66","Staples","Added to:  Expense: Office Expenses:Office Supplies 03/22/2025 $40.66","Auto-add RULE APPLIED "
"03/21/2025","LOWES #X2863*","-$32.91","Lowe's","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/21/2025 $32.91","Auto-add RULE APPLIED "
"03/21/2025","THE HOME DEPOT 2659","-$24.04","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/21/2025 $24.04","Auto-add RULE APPLIED "
"03/21/2025","THE HOME DEPOT 2659","-$185.16","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/21/2025 $185.16","Auto-add RULE APPLIED "
"03/20/2025","THE HOME DEPOT 2615","-$103.32","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/20/2025 $103.32","Auto-add RULE APPLIED "
"03/20/2025","LOWES #X1505*","-$67.84","Lowe's","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/20/2025 $67.84","Auto-add RULE APPLIED "
"03/20/2025","LOWES #X1505*","-$23.52","Lowe's","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/20/2025 $23.52","Auto-add RULE APPLIED "
"03/20/2025","LOWES #X2863*","-$57.05","Lowe's","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/20/2025 $57.05","Auto-add RULE APPLIED "
"03/19/2025","SQ *PETER BOTTACHIARI","-$505.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 03/19/2025 $505.00","Auto-add RULE APPLIED "
"03/19/2025","LOWES #X1505*","-$57.05","Lowe's","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/19/2025 $57.05","Auto-add RULE APPLIED "
"03/19/2025","SHERWIN-WILLIAMSXX2819","-$97.91","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/19/2025 $97.91","Auto-add RULE APPLIED "
"03/19/2025","SHERWIN-WILLIAMSXX5104","-$14.97","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/19/2025 $14.97","Auto-add RULE APPLIED "
"03/19/2025","SHERWIN-WILLIAMSXX5104","-$39.16","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/19/2025 $39.16","Auto-add RULE APPLIED "
"03/17/2025","CITY OF PROVIDENCE, R","-$845.92","City of Newport","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 03/17/2025 $845.92","Auto-add RULE APPLIED "
"03/17/2025","TOWN OF NORTH KINGSTO","-$463.42","Town of North Attleborough","Added to:  Expense: Utilities 03/17/2025 $463.42",""
